corp_name,corp_code,stock_code,ceo_name,industry_code
미래에셋맵스 아시아퍼시픽 부동산공모 1호 투자회사,00600013,094800,미래에셋자산운용(주),642
맥쿼리한국인프라투융자회사,00435297,088980,맥쿼리자산운용(주),64201
(주)우진,00173944,105840,"이재상, 백승한 각자대표",27216
(주)대동,00109286,000490,"김준식, 원유현",29210
삼화콘덴서공업(주),00129350,001820,"오영주, 박진",26291
(주)유니온,00144252,000910,"이건영, 이우선",23311
(주)우진플라임,00303217,049800,김익환,292
(주)서연이화,01036446,200880,강용석,303
대한방직(주),00112970,001070,"설 범, 김 인호",132
(주)갤럭시아 에스엠,00129554,011420,이반석,911
(주)유수홀딩스,00163691,000700,송영규,715
대원전선(주),00260392,006340,서명환,28302
태림포장(주),00153524,011280,이복진,1721
극동유화(주),00105156,014530,"장홍선, 장선우 (각자대표)",19221
일진홀딩스(주),00146649,015860,허정석,64992
제일파마홀딩스(주),00148443,002620,한상철,715
조광피혁(주),00148939,004700,이연석,15110
미원스페셜티케미칼(주),01234297,268280,"김형웅, 배원",201
(주)화승코퍼레이션,00166272,013520,"허성룡,현지호",303
(주)원림,00143794,005820,신성엽,13225
에이자기관리부동산투자회사(주),00860730,140910,김종국 (단독 대표이사),68121
율촌화학(주),00145260,008730,"송녹정,신동윤",22231
(주)티에이치엔,00118965,019180,"이광연, 채승훈",289
한국철강(주),00687711,104700,"문종인, 이수하 (각자대표)",2411
주식회사 이지스밸류플러스위탁관리부동산투자회사,01394377,334890,도병운,681
동원금속(주),00118008,018500,"이은우, 박승룡",303
쿠쿠홀딩스(주),00132354,192400,구본학,649
(주)한국전자홀딩스,00159254,006200,박 명 덕,64992
(주)금비,00168401,008870,고기영,23192
SNT에너지(주),00648721,100840,김형섭,29176
신성통상(주),00136341,005390,대표이사 염태순,467
주식회사 화승알앤에이,01532603,378850,김형진,30399
(주)남선알미늄,00107224,008350,"박귀봉, 정순원(각자대표)",24222
(주)제이알글로벌위탁관리부동산투자회사,01415892,348950,오남수,681
대영포장(주),00111458,014160,"강병은,손용수",1721
(주)황금에스티,00218575,032560,김종현,24290
(주)세원정공,00134316,021820,장제상,303
(주)케이씨티시,00103042,009070,류주환,49301
만호제강(주),00120872,001080,김상환,24123
쿠쿠홈시스 주식회사,01267684,284740,구본학,762
(주)LS네트웍스,00104698,000680,문성준,46800
(주)방림,00122348,003610,서재희 대표집행임원,132
신대양제지(주),00135777,016590,"권혁홍, 이상천(각자 대표이사)",172
삼영전자공업(주),00127200,005680,"변동준, 김성수(각자 대표이사)",26291
(주)전방,00147222,000950,조덕현,13101
이구산업(주),00145464,025820,"안월환, 김영길(각자 대표이사)",24221
태경케미컬 주식회사,00109161,006890,박기환,20121
(주)경방,00101628,000050,"김준, 김담",47119
한국화장품(주),00823429,123690,이용준,46443
유성기업(주),00174004,002920,류현석(대표이사),303
(주)보락,00123107,002760,정기련,2049
(주)광주신세계,00220561,037710,이동훈,47111
(주)혜인,00165343,003010,원경희,465
한전KPS(주),00159218,051600,김홍연,42311
KG케미칼(주),00101220,001390,"곽정현, 김재익",201
(주)코리아써키트,00152686,007810,장세준,2622
한일홀딩스(주),00162993,003300,"허기호, 박지훈",23311
부산산업(주),00124027,011390,정영교,233
이화산업(주),00145686,000760,홍성우,46731
(주)제이에스코퍼레이션,00332927,194370,홍재성,15121
SNT모티브(주),00398792,064960,권형순,303
조광페인트(주),00148920,004910,양성아,20411
㈜미래에셋맵스제1호위탁관리부동산투자회사,01437292,357250,정상구,681
(주)신원,00136864,009270,박정주,14112
(주)신화다이나믹스,00137809,001770,신종호,24199
(주)SH에너지화학,00136457,002360,정케빈규봉,201
디아이동일(주),00118345,001530,"서태원, 손재선",46103
(주)모나미,00121288,005360,송하경,46452
일신방직(주),00146269,003200,김정수,13101
샘표(주),00130091,007540,박진선,64992
아세아제지(주),00138729,002310,"유승환, 이현탁",172
동일산업(주),00172936,004890,"오순택, 오승민",24113
